kelurahanid,subdistrictname,kelurahanname,recordstatus
7864,SANGGALANGI,SANGGALANGI,1
7865,SESEAN,SESEAN,1
7866,SIMBUANG,SIMBUANG,1
7867,SOPAI,SOPAI,1
7868,TALLUNGLIPU,TALLUNGLIPU,1
7869,TIKALA SULOARA,TIKALA SULOARA,1
7870,TONDON,TONDON,1
7871,BELAWA,BELAWA,1
7872,GILIRENG,GILIRENG,1
7873,MAJAULENG,MAJAULENG,1
7874,MANIANG PAJO,MANIANG PAJO,1
7875,PAMMANA,PAMMANA,1
7876,PERWAKILAN BOLA,PERWAKILAN BOLA,1
7877,PERWAKILAN KEERA,PERWAKILAN KEERA,1
7878,PERWAKILAN PENRANG,PERWAKILAN PENRANG,1
7879,PITUMPANUA,PITUMPANUA,1
7880,SABBANG PARU,SABBANG PARU,1
7881,SAJOANGING,SAJOANGING,1
7882,TAKKALALA,TAKKALALA,1
7883,TANASITOLO,TANASITOLO,1
7884,TEMPE,TEMPE,1
7885,BALANTAK,BALANTAK,1
7886,BATUI,BATUI,1
7887,BUALEMO,BUALEMO,1
7888,BUNTA,BUNTA,1
7889,KINTOM,KINTOM,1
7890,LAMALA,LAMALA,1
7891,LUWUK,LUWUK,1
7892,LUWUK,LUWUK,1
7893,LUWUK,LUWUK,1
7894,LUWUK,LUWUK,1
7895,LUWUK,LUWUK,1
7896,LUWUK,LUWUK,1
7897,LUWUK,LUWUK,1
7898,LUWUK TIMUR,LUWUK TIMUR,1
7899,MASAMA,MASAMA,1
7900,PAGIMANA,PAGIMANA,1
7901,TOILI,TOILI,1
7902,TOILI,TOILI,1
7903,TOILI BARAT,TOILI BARAT,1
7904,BANGGAI,BANGGAI,1
7905,BOKAN KEPULAUAN,BOKAN KEPULAUAN,1
7906,BUKO,BUKO,1
7907,BULAGI,BULAGI,1
7908,BULAGI SELATAN,BULAGI SELATAN,1
7909,LIANG,LIANG,1
7910,LO BANGKURUNG,LO BANGKURUNG,1
7911,TINANGKUNG,TINANGKUNG,1
7912,TOTIKUM,TOTIKUM,1
7913,BIAU,BIAU,1
7914,BOKAT,BOKAT,1
7915,BUNOBOGU,BUNOBOGU,1
7916,MOMUNU,MOMUNU,1
7917,PALELEH,PALELEH,1
7918,AMPIBABO,AMPIBABO,1
7919,MOUTONG,MOUTONG,1
7920,SAUSU,SAUSU,1
7921,TINOMBO,TINOMBO,1
7922,TOMINI,TOMINI,1
7923,BUNGKU BARAT,BUNGKU BARAT,1
7924,BUNGKU SELATAN,BUNGKU SELATAN,1
7925,BUNGKU TENGAH,BUNGKU TENGAH,1
7926,BUNGKU TENGAH,BUNGKU TENGAH,1
7927,BUNGKU UTARA,BUNGKU UTARA,1
7928,LEMBO,LEMBO,1
7929,MENUI KEPULAUAN,MENUI KEPULAUAN,1
7930,MORI ATAS,MORI ATAS,1
7931,PETASIA,PETASIA,1
7932,PALU BARAT,PALU BARAT,1
7933,PALU BARAT,PALU BARAT,1
7934,PALU BARAT,PALU BARAT,1
7935,PALU BARAT,PALU BARAT,1
7936,PALU BARAT,PALU BARAT,1
7937,PALU BARAT,PALU BARAT,1
7938,PALU BARAT,PALU BARAT,1
7939,PALU BARAT,PALU BARAT,1
7940,PALU SELATAN,PALU SELATAN,1
7941,PALU SELATAN,PALU SELATAN,1
7942,PALU SELATAN,PALU SELATAN,1
7943,PALU SELATAN,PALU SELATAN,1
7944,PALU SELATAN,PALU SELATAN,1
7945,PALU SELATAN,PALU SELATAN,1
7946,PALU SELATAN,PALU SELATAN,1
7947,PALU SELATAN,PALU SELATAN,1
7948,PALU SELATAN,PALU SELATAN,1
7949,PALU TIMUR,PALU TIMUR,1
7950,PALU TIMUR,PALU TIMUR,1
7951,PALU TIMUR,PALU TIMUR,1
7952,PALU TIMUR,PALU TIMUR,1
7953,PALU TIMUR,PALU TIMUR,1
7954,PALU UTARA,PALU UTARA,1
7955,LAGE,LAGE,1
7956,LORE SELATAN,LORE SELATAN,1
7957,LORE UTARA,LORE UTARA,1
7958,PAMONA SELATAN,PAMONA SELATAN,1
7959,PAMONA UTARA,PAMONA UTARA,1
7960,POSO KOTA,POSO KOTA,1
7961,POSO KOTA,POSO KOTA,1
7962,POSO KOTA,POSO KOTA,1
7963,POSO KOTA,POSO KOTA,1
7964,POSO KOTA,POSO KOTA,1
7965,POSO KOTA,POSO KOTA,1
7966,POSO KOTA,POSO KOTA,1
7967,POSO KOTA,POSO KOTA,1
7968,POSO KOTA,POSO KOTA,1
7969,POSO PESISIR,POSO PESISIR,1
7970,TOJO BARAT,TOJO BARAT,1
7971,BAOLAN,BAOLAN,1
7972,BAOLAN,BAOLAN,1
7973,BAOLAN,BAOLAN,1
7974,BAOLAN,BAOLAN,1
7975,BAOLAN,BAOLAN,1
7976,BASIDONDO,BASIDONDO,1
7977,DAMPAL SELATAN,DAMPAL SELATAN,1
7978,DAMPAL UTARA,DAMPAL UTARA,1
7979,DONDO,DONDO,1
